Time,PV_Power_W,PV_Voltage_V,Batt_SOC_Pct,Batt_Voltage_V,Total_Energy_kWh
2026-02-17 11:15:39.924599,0.0,19.27,98.0,13.86,0.03
2026-02-17 11:20:40.183908,5.65,18.39,96.0,13.8,0.03
2026-02-17 11:25:40.409074,5.65,18.27,96.0,13.8,0.03
2026-02-17 11:30:40.622838,5.65,18.22,96.0,13.8,0.03
2026-02-17 11:35:40.852396,5.64,18.43,95.0,13.77,0.03
2026-02-17 11:40:41.081225,5.38,18.43,96.0,13.8,0.03
2026-02-17 11:45:41.311657,5.64,18.22,95.0,13.77,0.03
2026-02-17 11:50:41.574051,5.93,18.68,96.0,13.8,0.03
2026-02-17 11:55:41.804105,5.38,18.39,96.0,13.8,0.03
2026-02-17 12:00:42.054030,5.1,18.18,96.0,13.8,0.03
2026-02-17 12:05:42.293123,5.93,18.47,96.0,13.8,0.03
2026-02-17 12:10:42.510882,5.09,18.81,95.0,13.77,0.03
2026-02-17 12:15:44.947839,5.65,19.14,96.0,13.8,0.03
2026-02-17 12:20:45.182934,5.64,18.64,95.0,13.77,0.04
2026-02-17 12:25:45.433308,5.93,18.6,96.0,13.8,0.04
2026-02-17 12:30:45.659761,5.65,18.27,96.0,13.8,0.04
2026-02-17 12:35:45.902086,5.65,18.06,96.0,13.8,0.04
2026-02-17 12:40:46.137316,5.09,18.77,95.0,13.77,0.04
2026-02-17 12:45:46.373335,5.38,19.22,96.0,13.8,0.04
2026-02-17 12:50:46.619486,5.64,18.56,95.0,13.77,0.04
2026-02-17 12:55:46.855257,5.65,18.97,96.0,13.8,0.04
2026-02-17 13:00:47.119918,5.1,19.22,96.0,13.8,0.04
2026-02-17 13:05:47.359414,5.38,18.31,96.0,13.8,0.04
2026-02-17 13:10:47.596817,5.1,18.1,96.0,13.8,0.04
2026-02-17 13:15:49.582025,5.93,17.77,96.0,13.8,0.04
2026-02-17 13:20:49.827742,5.38,18.6,96.0,13.8,0.04
2026-02-17 13:25:50.069226,6.21,18.85,96.0,13.8,0.04
2026-02-17 13:30:50.311901,5.1,18.6,96.0,13.8,0.04
2026-02-17 13:35:50.584930,5.38,18.39,96.0,13.8,0.04
2026-02-17 13:40:50.820991,4.81,18.22,95.0,13.77,0.04
2026-02-17 13:45:51.050172,5.65,17.56,96.0,13.8,0.04
2026-02-17 13:50:51.282629,5.38,18.35,96.0,13.8,0.04
2026-02-17 13:55:51.514156,5.38,18.1,96.0,13.8,0.04
2026-02-17 14:00:51.744671,5.37,17.93,95.0,13.77,0.04
2026-02-17 14:05:51.971683,5.65,18.02,96.0,13.8,0.04
2026-02-17 14:10:52.222548,5.65,15.52,96.0,13.8,0.05
2026-02-17 14:15:54.624116,5.65,17.56,96.0,13.8,0.05
2026-02-17 14:20:54.862000,5.1,17.81,96.0,13.8,0.05
2026-02-17 14:25:55.097238,5.09,17.93,95.0,13.77,0.05
2026-02-17 14:30:55.336045,5.37,17.81,95.0,13.77,0.05
2026-02-17 14:35:55.577357,5.38,18.06,96.0,13.8,0.05
2026-02-17 14:40:55.815889,4.54,18.72,95.0,13.77,0.05
2026-02-17 14:45:56.051360,4.83,18.68,96.0,13.8,0.05
2026-02-17 14:50:56.309903,5.65,17.97,96.0,13.8,0.05
2026-02-17 14:55:56.552878,5.65,17.31,96.0,13.8,0.05
2026-02-17 15:00:56.799661,4.81,17.23,95.0,13.77,0.05
2026-02-17 15:05:57.040070,5.93,15.52,96.0,13.8,0.05
2026-02-17 15:10:57.282445,5.65,16.43,96.0,13.8,0.05
2026-02-17 15:15:59.344730,5.07,15.39,93.0,13.71,0.05
2026-02-17 15:20:59.578105,5.65,16.14,96.0,13.8,0.05
2026-02-17 15:25:59.853289,5.93,17.27,96.0,13.8,0.05
2026-02-17 15:31:00.097366,5.1,17.97,96.0,13.8,0.05
2026-02-17 15:36:00.348388,5.65,17.06,96.0,13.8,0.05
2026-02-17 15:41:00.596450,6.21,17.31,96.0,13.8,0.05
2026-02-17 15:46:00.835992,5.38,17.77,96.0,13.8,0.05
2026-02-17 15:51:01.082202,5.38,17.56,96.0,13.8,0.05
2026-02-17 15:56:01.304769,5.65,15.52,96.0,13.8,0.05
2026-02-17 16:01:01.554855,4.24,15.35,92.0,13.69,0.06
2026-02-17 16:06:01.774710,3.52,15.19,87.0,13.56,0.06
2026-02-17 16:11:01.999427,4.18,15.14,85.0,13.5,0.06
2026-02-17 16:16:04.592930,3.48,14.98,81.0,13.39,0.06
2026-02-17 16:21:04.816854,2.64,14.81,76.0,13.24,0.06
2026-02-17 16:26:05.038981,2.89,14.73,73.0,13.16,0.06
2026-02-17 16:31:05.265038,1.82,16.85,68.0,13.03,0.06
2026-02-17 16:36:05.522181,1.81,15.1,65.0,12.96,0.06
2026-02-17 16:41:05.757165,1.03,16.23,64.0,12.92,0.06
2026-02-17 16:46:05.991816,0.77,16.35,63.0,12.9,0.06
2026-02-17 16:51:06.232235,0.0,16.81,62.0,12.86,0.06
2026-02-17 16:56:06.463558,0.0,16.85,62.0,12.86,0.06
2026-02-17 17:01:06.694417,0.25,15.31,62.0,12.88,0.06
