Time,PV_Power_W,PV_Voltage_V,Batt_SOC_Pct,Batt_Voltage_V,Total_Energy_kWh
2026-02-15 12:48:17.259432,0.78,17.35,73.0,13.16,0.01
2026-02-15 13:05:45.305413,1.3,17.06,70.0,13.09,0.01
2026-02-15 13:10:45.522920,2.61,15.48,70.0,13.07,0.01
2026-02-15 13:15:45.741221,2.09,16.23,70.0,13.07,0.01
2026-02-15 13:20:45.971775,1.56,16.77,70.0,13.07,0.01
2026-02-15 13:25:46.202544,2.61,15.02,69.0,13.07,0.01
2026-02-15 13:30:46.438966,0.0,17.52,68.0,13.03,0.01
2026-02-15 13:35:46.707514,2.34,14.56,69.0,13.05,0.01
2026-02-15 13:40:46.924051,2.08,16.02,68.0,13.03,0.01
2026-02-15 13:45:47.153299,0.78,16.89,68.0,13.01,0.01
2026-02-15 13:51:34.260953,0.0,0.0,0.0,0.0,0.0
2026-02-15 13:53:48.736870,17.5,18.89,100.0,14.12,0.02
2026-02-15 13:58:48.970889,14.26,18.6,100.0,14.12,0.02
2026-02-15 14:03:49.211140,12.11,18.47,100.0,14.09,0.02
2026-02-15 14:08:49.455739,11.01,18.39,100.0,14.12,0.02
2026-02-15 14:13:49.712008,10.14,18.35,100.0,14.09,0.02
2026-02-15 14:18:50.043786,9.86,18.22,100.0,14.09,0.02
2026-02-15 14:23:50.291608,9.56,18.18,100.0,14.07,0.02
2026-02-15 14:28:50.566070,9.27,18.22,100.0,14.05,0.02
2026-02-15 14:33:50.809452,9.25,18.27,100.0,14.03,0.02
2026-02-15 14:38:51.060751,8.97,18.47,100.0,14.03,0.03
2026-02-15 14:43:51.311820,9.25,18.35,100.0,14.03,0.03
2026-02-15 14:48:51.563598,7.98,18.43,100.0,14.01,0.03
2026-02-15 14:53:51.809628,7.69,18.31,100.0,13.99,0.03
2026-02-15 14:58:52.067513,8.67,18.18,100.0,13.99,0.03
2026-02-15 15:03:52.344218,7.96,18.27,100.0,13.97,0.03
2026-02-15 15:08:52.600578,8.39,18.22,100.0,13.99,0.03
2026-02-15 15:13:52.837361,8.68,18.31,100.0,14.01,0.03
2026-02-15 15:18:53.083189,8.4,18.27,100.0,14.01,0.03
2026-02-15 15:23:53.321346,9.25,18.35,100.0,14.03,0.03
2026-02-15 15:32:03.554725,7.79,18.43,95.0,13.67,0.03
2026-02-15 15:37:03.785380,6.68,18.47,95.0,13.65,0.03
2026-02-15 15:42:04.020321,5.59,18.52,95.0,13.65,0.03
2026-02-15 15:47:04.258725,6.14,18.43,95.0,13.65,0.03
2026-02-15 15:52:04.488829,5.85,18.39,95.0,13.62,0.03
2026-02-15 15:57:04.732067,5.85,18.27,95.0,13.62,0.03
2026-02-15 16:02:04.972649,5.84,18.27,95.0,13.6,0.04
2026-02-15 16:07:05.232333,6.12,18.31,95.0,13.62,0.04
2026-02-15 16:12:05.477678,6.4,18.27,95.0,13.62,0.04
2026-02-15 16:17:05.721696,6.12,18.35,95.0,13.62,0.04
2026-02-15 16:22:05.966695,6.12,18.35,95.0,13.62,0.04
2026-02-15 16:27:06.216894,6.67,18.22,95.0,13.62,0.04
2026-02-15 16:32:06.460391,6.12,18.18,95.0,13.62,0.04
2026-02-15 16:37:06.711743,5.84,18.14,95.0,13.6,0.04
2026-02-15 16:42:06.980639,6.4,18.06,95.0,13.62,0.04
2026-02-15 16:47:07.231699,6.4,18.02,95.0,13.62,0.04
2026-02-15 16:52:07.473928,6.12,17.97,95.0,13.6,0.04
2026-02-15 16:57:07.724770,6.68,17.85,95.0,13.65,0.04
2026-02-15 17:02:07.978675,6.67,17.77,95.0,13.62,0.04
2026-02-15 17:07:08.232966,6.4,17.64,95.0,13.62,0.04
2026-02-15 17:12:08.485147,6.12,17.35,94.0,13.62,0.04
2026-02-15 17:17:08.765303,6.41,17.06,95.0,13.65,0.04
2026-02-15 17:22:09.020992,6.68,16.23,95.0,13.65,0.04
2026-02-15 17:27:09.260476,5.57,15.27,93.0,13.6,0.04
2026-02-15 17:32:09.496616,4.71,15.1,88.0,13.48,0.04
2026-02-15 17:37:09.735182,1.59,14.85,82.0,13.33,0.04
2026-02-15 19:46:46.998289,0.0,0.0,0.0,0.0,0.0
